Day,Open,High,Low,Shares Traded,Turnover in Rs.,Close
Monday,1077.75,1102.6,1077.75,35100491,1.11E+10,1090.45
Tuesday,1090.25,1090.25,1072.7,36056865,1.27E+10,1083.3
Wednesday,1083.85,1108.2,1083.85,34696088,1.13E+10,1103.35
Thursday,1103.8,1113.45,1099.8,35312195,1.27E+10,1105.8
Friday,1105.5,1112.4,1097.75,36374278,1.05E+10,1109.6
Monday,1110.1,1124.8,1110.1,9184339,3.65E+09,1124.1
Tuesday,1124.25,1137.8,1117.35,45069481,1.38E+10,1120.85
Wednesday,1121.45,1149.35,1121.45,41321430,1.17E+10,1146.95
Thursday,1147.65,1156.7,1127.3,40291506,1.26E+10,1129.5
Friday,1129.5,1142.1,1121.2,35105522,1.09E+10,1140.35
Monday,1140.6,1146.65,1122.95,33082417,1.06E+10,1124.85
Tuesday,1124.75,1127.5,1111.85,42702085,1.39E+10,1116.9
Wednesday,1117.15,1151,1117.15,37872513,1.54E+10,1150.1
Thursday,1150.4,1169.55,1150.4,42312753,1.64E+10,1157.4
Friday,1157.9,1174.55,1157.3,42063686,1.63E+10,1173.45
Monday,1173.55,1191.55,1173.55,43162955,1.44E+10,1187.1
Tuesday,1187.35,1199.55,1184,49887166,1.70E+10,1187.8
Thursday,1189.4,1224.25,1189.4,56380041,1.85E+10,1209.6
Friday,1209.75,1209.9,1189.45,40176435,1.33E+10,1192.4
Monday,1191.65,1191.65,1156.85,44464137,1.41E+10,1159.45
Wednesday,1159.55,1210.6,1159.55,41792672,1.20E+10,1206.3
Thursday,1206.35,1215.05,1194.5,33007047,1.02E+10,1197.05
Friday,1197.05,1211.8,1189.75,36499816,1.24E+10,1210
Monday,1210.05,1222.55,1202.2,32873552,1.07E+10,1207.15
Tuesday,1207.2,1218.95,1207.2,35666930,1.27E+10,1212.75
Wednesday,1212.95,1247.15,1208,42633006,1.30E+10,1210.8
Thursday,1210.25,1211.3,1179.75,33216627,9.63E+09,1182.1
Friday,1182.15,1183.75,1144.85,39934567,1.22E+10,1173.8
Monday,1173.85,1180.2,1161.2,32955550,8.14E+09,1164.35
Tuesday,1164.1,1164.3,1144.55,37419354,1.08E+10,1146.8
Wednesday,1151.3,1178.05,1147,32232034,9.07E+09,1151.1
Thursday,1151.4,1161,1137.8,27870055,9.58E+09,1159.35
Monday,1159.8,1185.75,1159.8,27338172,1.04E+10,1185.15
Tuesday,1185.2,1191.25,1177.3,27777352,9.43E+09,1188.1
Wednesday,1188,1196.7,1169.15,28952167,9.63E+09,1172.45
Friday,1172.1,1172.2,1157.3,26988137,8.82E+09,1161.55
Monday,1162.2,1162.95,1156.45,18256046,6.01E+09,1160.3
Tuesday,1160.15,1160.15,1100.1,41825740,1.40E+10,1132.25
Wednesday,1132.1,1132.1,1091.25,37018863,1.14E+10,1094.1
Thursday,1094.05,1121.75,1081.6,45348934,1.58E+10,1118.65
Friday,1119.15,1130.4,1104.2,35340289,1.30E+10,1110.1
Monday,1110.65,1130,1110.65,23778153,7.86E+09,1119.8
Tuesday,1119.8,1125.15,1116.2,27339517,9.58E+09,1121.75
Wednesday,1121.7,1142.95,1121.7,28287639,9.67E+09,1141.3
Thursday,1141.65,1146.35,1120.35,29495177,1.03E+10,1126.15
Friday,1126.1,1131.25,1118.5,25801188,1.06E+10,1126.55
Monday,1125.9,1127,1111.2,19983566,6.85E+09,1122.95
Tuesday,1123.15,1123.15,1101.55,25222790,8.63E+09,1104.45
Wednesday,1104.05,1107.2,1089,32874405,1.30E+10,1090.95
Thursday,1090.5,1097,1073.3,35192351,1.14E+10,1075.55
Friday,1075.35,1077.15,1037.95,48698066,1.42E+10,1063.15
Monday,1064.1,1100,1049.4,52124177,1.39E+10,1053.75
Tuesday,1053.4,1053.65,1016.25,54407354,1.44E+10,1019.6
Wednesday,1019.35,1037.3,1009.95,46089930,1.19E+10,1033.9
Thursday,1034.1,1044.4,1023.35,32703700,8.76E+09,1027
Friday,1026.6,1026.6,989.2,41661550,1.12E+10,993.5
Monday,993.5,1003.15,936.55,45557208,1.36E+10,968.6
Tuesday,968.9,1002.45,964.7,36850576,9.45E+09,995.05
Wednesday,994.55,998.65,959.6,32958871,9.43E+09,962.9
Thursday,962.15,964.65,929.95,31748546,9.17E+09,961.35
Friday,961.6,987.3,961.6,27887341,7.97E+09,971.15
Monday,970.95,970.95,914.3,25510193,7.37E+09,916.8
Tuesday,916.25,916.25,862.15,38570358,9.33E+09,910.1
Wednesday,910.9,980.3,910.9,30367050,7.11E+09,976.5
Thursday,977,990.15,952.65,27619219,7.19E+09,956.15
Friday,955.05,955.05,910.55,26778960,6.77E+09,913.25
Monday,912.9,912.9,853.3,25708254,6.97E+09,880.2
Tuesday,882.2,882.2,853.05,31597305,7.48E+09,875.6
Wednesday,875.45,910.05,873.6,25450669,5.84E+09,908.5
Thursday,908.65,939.15,908.65,27318073,6.64E+09,932.15
Friday,931.8,932.5,914.45,22787822,5.36E+09,924.35
Monday,923.2,951.2,916.65,26261414,5.86E+09,949.1
Tuesday,949.45,952.75,933,28720117,6.86E+09,941.65
Wednesday,941.6,945.55,916.5,19339296,6.13E+09,942.25
Thursday,941.65,941.65,918.1,15835243,5.10E+09,919.9
Friday,920.05,920.05,898.65,17725309,5.29E+09,900.55
Monday,901,919.5,900.9,17274906,5.57E+09,917.35
Tuesday,917.45,936,917.45,29371223,8.11E+09,924.7
Wednesday,925.15,948.3,924.95,25043934,7.91E+09,944.15
Thursday,944.1,966.1,944.1,26540469,8.79E+09,961.05
Friday,961.65,982.2,961.65,34687855,9.20E+09,980.15
Monday,980.3,991.7,959.4,31761594,9.36E+09,964.35
Tuesday,964.1,970.3,954.5,23627084,6.79E+09,967.35
Wednesday,968.05,988.55,968.05,24903124,7.60E+09,971.4
Thursday,972,1005.9,969.55,28151491,1.08E+10,1004.05
Friday,1005.1,1015.55,996.6,32611620,1.08E+10,1000.95
Monday,1001.9,1002.4,973.75,20884098,6.66E+09,977.3
Tuesday,977.65,983.4,960.85,26913359,8.34E+09,965.5
Wednesday,965.55,976.5,959.5,21578599,6.18E+09,965.7
Thursday,965.35,965.35,931.75,26412525,7.61E+09,934.4
Friday,933.5,934.75,915.5,27508678,7.09E+09,920.1
Monday,919.4,929.45,895.85,24341340,6.65E+09,899.35
Tuesday,899.1,920,897.65,28308776,7.61E+09,917.25
Wednesday,917.4,940.15,917.4,27974665,7.85E+09,937.85
Thursday,938.15,949.85,926.8,23814545,7.98E+09,932.6
Friday,932.6,939.6,925.25,24747027,8.68E+09,931.4
Monday,930.8,930.8,903.5,18363646,5.99E+09,906
Tuesday,905.65,913.45,903.15,19658165,6.02E+09,906.2
Wednesday,905.65,911.8,890.95,22290227,5.87E+09,907.45
Thursday,907.9,919,900.2,27176069,8.07E+09,902.75
Friday,902.75,903.55,892.9,22250680,6.09E+09,895.55
Monday,895.15,895.15,877.55,19259587,5.11E+09,878.75
Tuesday,878.7,878.7,863.65,23646773,5.32E+09,866.5
Wednesday,866.35,871.4,853.1,23442339,6.09E+09,860.1
Thursday,859.8,878.4,854.5,23529670,6.45E+09,872.25
Friday,872.85,876.8,863.55,17898322,4.35E+09,864.1
Monday,864.35,873.2,853.05,19019039,5.35E+09,854.55
Tuesday,854.55,854.8,831.1,26628099,6.13E+09,832.45
Wednesday,832.85,853.9,830.15,36170597,7.37E+09,838.3
Thursday,839.3,871.15,839.3,34008642,7.94E+09,868.7
